Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo,,,
75,,,CYBEX Pallas M-Fix,Princess Pink-purple,粉色-紫色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
76,,,CYBEX Pallas M-Fix,Mars Red-red,鲜红色-红色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
77,,,CYBEX Pallas M-Fix,Royal Blue-blue,宝蓝色-蓝色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
78,,,CYBEX Pallas M-Fix,Manhattan Grey-grey,浅灰色-灰色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
79,,,CYBEX Pallas M-Fix,Autumn Gold-burnt red,金色-橙色,,186.38 €,299.95  €,205.02 €,,,1,,,,,,,,,,,,15,,,,,
80,,,CYBEX Pallas M-Fix,Black Beauty-black,黑灰色-黑色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
81,,,CYBEX Pallas M-Fix,Limestone-khaki,岩灰色-卡其色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
82,,,CYBEX Pallas M-Fix,Hot & Spicy-red,鲜红-红色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
83,,,CYBEX Pallas M-Fix,Moon Dust-dark grey,浅灰色-深灰色,,176.21 €,279.95  €,193.83 €,,,1,,,,,,,,,,,,15,,,,,
84,,,CYBEX Solution M-Fix,Phantom Grey-dark grey,黑灰色-深灰色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
85,,,CYBEX Solution M-Fix,Princess Pink-purple,粉色-紫色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
86,,,CYBEX Solution M-Fix,Mars Red-red,鲜红色-红色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
87,,,CYBEX Solution M-Fix,Royal Blue-navy blue,宝蓝色-蓝色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
88,,,CYBEX Solution M-Fix,Manhattan Grey-grey,浅灰色-灰色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
89,,,CYBEX Solution M-Fix,Autumn Gold-burnt red,金色-橙色,,119.90 €,189.95  €,131.89 €,,,1,,,,,,,,,,,,15,,,,,
90,,,CYBEX Solution M-Fix,Black Beauty-black,黑灰色-黑色,,114.74 €,179.95  €,126.21 €,,,1,,,,,,,,,,,,15,,,,,
