Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo
19,,,HARTAN iX1 Buggy 923,Modischer Streifen/graphit/weiss,时尚条纹/石墨色/白色,,193.00 €,329.00  €,212.30 €,,,,,,,,,,,,,,,,,
20,,,HARTAN iX1 Buggy 932,Feinstreifen marine-rot-weiss,细条纹蓝-红-白,,193.00 €,329.00  €,212.30 €,,,,,,,,,,,,,,,,,
21,,,HARTAN iX1 Buggy 943,Karo schwarz/weiss/limone,方格黑色/白色/绿色,,193.00 €,329.00  €,212.30 €,,,,,,,,,,,,,,,,,
22,,,HARTAN iX1 Buggy 928,Tupfen graphit/weiss,圆点石墨色/白色,,193.00 €,329.00  €,212.30 €,,,,,,,,,,,,,,,,,
23,,,"GESSLEIN Swift, anthrazit",schwarz,黑色,,89.47 €,199.00  €,98.42 €,,,,,,,,,,,,,,,,,
24,,,"GESSLEIN Swift, anthrazit",apfel,绿色,,89.47 €,199.00  €,98.42 €,,,,,,,,,,,,,,,,,
25,,,"GESSLEIN Swift, anthrazit",rot,红色,,89.47 €,199.00  €,98.42 €,,,,,,,,,,,,,,,,,
26,,,GESSLEIN Swift Adapter ,für Babyschale Maxi-Cosi,Maxi-Cosi 转换装置，适用于Swift系列,,16.22 €,24.90  €,17.84 €,,,,,,,,,,,,,,,,,
27,,,PEG Aria Shopper,Mod beige,米色,,114.24 €,189.00  €,125.66 €,,,,,,,,,,,,,,,,,
28,,,PEG Aria Shopper,Mod navy,深蓝色,,114.24 €,189.00  €,125.66 €,,,,,,,,,,,,,,,,,
29,,,PEG Booklet Lite,Mod beige,米色,,179.52 €,299.00  €,197.47 €,,,,,,,,,,,,,,,,,
30,,,PEG Booklet Lite,Mod bluette,蓝色,,179.52 €,299.00  €,197.47 €,,,,,,,,,,,,,,,,,
31,,,PEG Pliko P3 Compact,"Classico, Saxony Blue",经典，蓝色,,179.52 €,289.00  €,197.47 €,,,,,,,,,,,,,,,,,
32,,,PEG Pliko P3 Compact,"Classico, Ascot",经典，深卡其色,,179.52 €,289.00  €,197.47 €,,,,,,,,,,,,,,,,,
33,,,PEG Pliko P3 Compact,"Classico, Blue Denim",经典，牛仔蓝色,,179.52 €,289.00  €,197.47 €,,,,,,,,,,,,,,,,,
34,,,PEG Pliko P3 Compact,"Classico, Mod black",经典，黑色,,164.16 €,269.00  €,180.58 €,,,,,,,,,,,,,,,,,
35,,,PEG Frontbügel,für Booklet,保护杆，适用于Booklet系列,,18.00 €,29.00  €,19.80 €,,,,,,,,,,,,,,,,,
44,,,QUINNY Zapp Xtra 2.0,Rocking Black,黑色,,165.52 €,269.90  €,182.07 €,,,,,,,,,,,,,,,,,
45,,,QUINNY Zapp Xtra 2.0,Grey Gravel,银灰色,,165.52 €,269.90  €,182.07 €,,,,,,,,,,,,,,,,,
46,,,QUINNY Zapp Xtra 2.0,Blue Base,蓝色,,165.52 €,269.90  €,182.07 €,,,,,,,,,,,,,,,,,
47,,,QUINNY Zapp Xtra 2.0,Red rumour,红色,,165.52 €,269.90  €,182.07 €,,,,,,,,,,,,,,,,,
48,,,QUINNY Zapp Xtra,Rocking Black,黑色,,165.52 €,284.90  €,182.07 €,,,,,,,,,,,,,,,,,
49,,,QUINNY Zapp Xtra,Red rumour,红色,,165.52 €,284.90  €,182.07 €,,,,,,,,,,,,,,,,,
50,,,QUINNY Zapp Xtra,Spielbügel Black,保护杆，黑色,,18.32 €,36.90  €,20.15 €,,,,,,,,,,,,,,,,,
51,,,BABYJOGGER City Elite Single,"OHNE Handbremse, Black",单人，无手刹，黑色,,357.91 €,599.00  €,393.70 €,,,,,,,,,,,,,,,,,
52,,,BABYJOGGER City Elite Single,"OHNE Handbremse, Gray",单人，无手刹，灰色,,357.91 €,599.00  €,393.70 €,,,,,,,,,,,,,,,,,
53,,,BABYJOGGER City Elite Single ,"mit Handbremse, Black",单人，有手刹，黑色,,421.44 €,749.00  €,463.58 €,,,,,,,,,,,,,,,,,
54,,,BABYJOGGER City Elite Single ,"mit Handbremse, Red",单人，有手刹，红色,,421.44 €,749.00  €,463.58 €,,,,,,,,,,,,,,,,,
55,,,BABYJOGGER City Elite Single ,"mit Handbremse, Sand",单人，有手刹，棕色,,421.44 €,749.00  €,463.58 €,,,,,,,,,,,,,,,,,
56,,,BABYJOGGER City Elite Single ,"mit Handbremse, Gray",单人，有手刹，灰色,,421.44 €,749.00  €,463.58 €,,,,,,,,,,,,,,,,,
57,,,BABYJOGGER City Elite Single ,"mit Handbremse, Black Denim",单人，有手刹，牛仔黑色,,436.80 €,779.00  €,480.48 €,,,,,,,,,,,,,,,,,
